,Station,Latitude,Longitude
667,YB.M7,32.599,55.1952
668,YB.M8,32.9657,55.4836
669,YF.APER,35.55,27.17
670,YF.KOUM,37.7,26.84
671,YH.DA01,40.33028,30.12073
672,YH.DA02,40.37,30.06
673,YH.DA03,40.47,30.14667
674,YH.DA04,40.50667,30.113329999999998
675,YH.DA05,40.58429,30.15857
676,YH.DA06,40.62,30.1
677,YH.DA07,40.71,30.075
678,YH.DA08,40.80167,30.113329999999998
679,YH.DA09,40.876,30.144
680,YH.DA10,40.86,30.07
681,YH.DA11,40.93,30.08
682,YH.DB01,40.28,30.17
683,YH.DB02,40.345,30.2
684,YH.DB03,40.42,30.15
685,YH.DB04,40.485,30.2
686,YH.DB05,40.49905,29.93145
687,YH.DB06,40.622,30.266
688,YH.DB07,40.68,30.18
689,YH.DB08,40.77,30.155
690,YH.DB09,40.82333,30.18667
691,YH.DB10,40.88667,30.19333
692,YH.DB11,40.96667,30.19333
693,YH.DC01,40.3,30.24
694,YH.DC02,40.39703,30.27995
695,YH.DC03,40.42,30.24
696,YH.DC04,40.48,30.24
697,YH.DC05,40.56857,30.32429
698,YH.DC06,40.62,30.295
699,YH.DC07,40.67,30.24
700,YH.DC08,40.74,30.25
701,YH.DC09,40.860859999999995,30.307879999999997
702,YH.DC10,40.965,30.21
703,YH.DC11,40.9125,30.2875
704,YH.DD01,40.292,30.34
705,YH.DD02,40.38675,30.3071
706,YH.DD03,40.40253,30.381
707,YH.DD04,40.525,30.32
708,YH.DD05,40.55,30.33
709,YH.DD06,40.615,30.35
710,YH.DD09,40.8,30.33
711,YH.DD10,40.86,30.33
712,YH.DD11,40.93,30.31
713,YH.DE01,40.3,30.41
714,YH.DE02,40.36,30.4
715,YH.DE03,40.40333,30.473329999999997
716,YH.DE04,40.5,30.41
717,YH.DE05,40.56327,30.45973
718,YH.DE06,40.455,30.44
719,YH.DE07,40.6797,30.4115
720,YH.DE08,40.75,30.41
721,YH.DE09,40.8098,30.4098
722,YH.DE10,40.89667,30.433329999999998
723,YH.DE11,40.93,30.4
724,YH.DF01,40.3004,30.4972
725,YH.DF02,40.36,30.49
726,YH.DF04,40.48,30.5
727,YH.DF05,40.54,30.49
728,YH.DF06,40.68333,30.49
729,YH.DF07,40.68,30.49
730,YH.DF08,40.74,30.5
731,YH.DF09,40.845,30.495
732,YH.DF10,40.88,30.5
733,YH.DF11,40.93,30.49
734,YH.GULT,40.432,30.5156
735,YH.KO01,40.08,30.3
736,YH.KO02,40.315,30.715
737,YH.KO03,40.4281,30.8131
738,YH.KO04,40.59,30.81
739,YH.KO05,40.87,30.92
740,YH.KO06,41.03,30.65
741,YH.KO07,41.05,30.17
742,YH.SAUV,40.74,30.33
743,YH.SPNC,40.44733,30.40363
744,YJ.GE,40.78,30.83
745,YJ.MO,40.73,30.82
